rel_thres,média,desvio,mediana,mínimo,máximo,Q1,Q3,n
0.5,2346974289.2334,20384016965.9002,594.6617,0.0001,401967789911.26,12.0592,26089.0615,21600
0.52,2330547220.8037,20172122349.0406,619.4434,0.0002,396299623056.6223,11.8943,28619.9235,21600
0.54,2344424830.3401,20227320682.2677,626.9207,0.0001,390889840968.4871,12.1982,28376.6988,21600
0.56,2336547266.8279,20207698665.5955,609.6637,0.0001,415082019030.1402,12.2098,28561.9186,21600
0.5800000000000001,2336694472.97,20225525132.9718,618.0398,0.0002,400784810185.9242,12.3745,25825.5043,21600
0.6,2320592331.6212,20068280325.4529,613.5011,0.0001,391011528401.9984,11.7658,25964.2714,21600
0.62,2357021690.6333,20387039155.8734,623.1885,0.0001,433866805133.1568,11.9821,25236.712,21600
0.64,2354834558.5383,20330975216.275,626.9163,0.0001,417418533752.541,12.14,27547.4941,21600
0.66,2320078617.5987,19953502755.8652,618.3278,0.0001,389071139357.2079,12.554,26265.202,21600
0.68,2371343522.0097,20670908398.5251,626.3336,0.0002,611719561830.4626,12.4596,25974.6038,21600
0.7,2352543745.0699,20330197311.9282,619.0865,0.0001,393033418711.4636,12.9482,28512.3369,21600
0.72,2336571361.0564,20176605689.0064,619.5657,0.0002,420986768832.2277,12.3509,26582.5589,21600
0.74,2302298584.6144,19883260586.9174,635.9439,0.0001,391633048561.1305,12.3342,26880.4536,21600
0.76,2305185154.1973,19964399330.262,636.3808,0.0001,405625889062.5327,12.3308,30086.1786,21600
0.8,2346705758.389,20354049757.79,642.1587,0.0002,564884900516.5884,12.2854,28183.9076,21600
0.82,2310351465.9382,19988707051.3289,633.0881,0.0001,389616370497.6638,12.3326,25835.8739,21600
0.84,2332149700.016,20163751263.641,629.1449,0.0001,433707382945.8648,12.3276,25429.3143,21600
0.86,2311662087.4483,19925006924.8812,651.6769,0.0001,393555854510.12,12.583,28518.5817,21600
0.88,2320026496.3473,20065761248.4456,644.4219,0.0001,390607245409.3356,12.5335,27147.5984,21600
0.9,2308856276.5566,19950701789.2702,654.959,0.0002,414991779812.1089,12.8124,28154.4083,21600
0.92,2324695914.5675,20301817953.9353,640.4507,0.0001,598933432440.6804,12.7474,30496.6121,21600
0.94,2321122093.7225,20176327079.8526,659.4404,0.0001,434967065891.19,12.873,26813.9096,21600
0.96,2297377257.3655,19912318021.364,649.8623,0.0001,392052039946.7516,13.1254,26837.3212,21600
0.98,2350335152.4797,20757371823.0804,642.7607,0.0001,823217577649.1632,12.8718,27279.6276,21600
1.0,2318018876.016,20004536552.4821,658.43,0.0002,420531713739.536,13.046,29811.8264,21600
